pos,titel,artiest,jaar,Datum,datum2
840,New York State Of Mind,Billy Joel,1976,29-12-16 1:37,41271
839,Binnen Zonder Kloppen,De Dijk,1985,29-12-16 1:41,41271
838,Tequila Sunrise,Eagles,1973,29-12-16 1:44,41271
837,Smooth Operator,Sade,1984,29-12-16 1:49,41271
836,Fake Plastic Trees,Radiohead,1995,29-12-16 1:53,41271
835,Carry On Wayward Son,Kansas,1977,29-12-16 1:57,41271
834,True Colours,Cyndi Lauper,1986,29-12-16 2:07,41271
833,Yesterday When I Was Young,Charles Aznavour,1970,29-12-16 2:10,41271
832,Heaven Must Be Missing An Angel,Tavares,1976,29-12-16 2:14,41271
831,Famous Blue Raincoat,Leonard Cohen,1971,29-12-16 2:19,41271
830,Take Me Out,Franz Ferdinand,2003,29-12-16 2:23,41271
829,Madness,Muse,2012,29-12-16 2:26,41271
828,Time To Say Goodbye,Andrea Bocelli & Sarah Brightman,1997,29-12-16 2:30,41271
827,Unchained Melody,The Righteous Brothers,1965,29-12-16 2:34,41271
826,Self Esteem,The Offspring,1995,29-12-16 2:38,41271
825,Four Seasons In One Day,Crowded House,1992,29-12-16 2:41,41271
824,Just Can't Get Enough (live),Depeche Mode,1985,29-12-16 2:45,41271
823,This Is The Life,Amy Macdonald,2008,29-12-16 2:48,41271
822,All You Need Is Love,The Beatles,1967,29-12-16 2:52,41271
821,Hunting High And Low,A-Ha,1986,29-12-16 2:56,41271
820,Wicked Way,Waylon,2009,29-12-16 2:59,41271
819,Into My Arms,Nick Cave & The Bad Seeds,1997,29-12-16 3:07,41271
818,Let Love Rule,Lenny Kravitz,1989,29-12-16 3:13,41271
817,Jesus He Knows Me,Genesis,1992,29-12-16 3:17,41271
816,Get Back,The Beatles,1969,29-12-16 3:20,41271
815,Zij,Marco Borsato,2002,29-12-16 3:24,41271
814,Under The Pressure,War On Drugs,2014,29-12-16 3:28,41271
813,Winter,Tori Amos,1992,29-12-16 3:34,41271
812,I Won't Give Up,Jason Mraz,2012,29-12-16 3:38,41271
811,Private Dancer,Tina Turner,1984,29-12-16 3:42,41271
810,I Have A Dream,ABBA,1979,29-12-16 3:47,41271
809,Like The Way I Do,Melissa Etheridge,1989,29-12-16 3:52,41271
808,Frozen,Madonna,1998,29-12-16 3:57,41271
807,Hallelujah,Lisa Lois,2009,29-12-16 4:07,41271
806,What's Up,4 Non Blondes,1993,29-12-16 4:11,41271
805,Eloise,Barry Ryan,1968,29-12-16 4:17,41271
804,Like A Prayer,Madonna,1989,29-12-16 4:23,41271
803,Immigrant Song,Led Zeppelin,1971,29-12-16 4:25,41271
802,You're My Best Friend,Queen,1976,29-12-16 4:28,41271
801,How To Save A Life,The Fray,2007,29-12-16 4:32,41271
800,Is Dit Nu Later,Stef Bos,1990,29-12-16 4:36,41271
799,Every Little Thing She Does Is Magic,The Police,1981,29-12-16 4:40,41271
798,Fool On The Hill,The Beatles,1967,29-12-16 4:43,41271
797,No Surprises,Radiohead,1997,29-12-16 4:47,41271
796,Weak,Skunk Anansie,1995,29-12-16 4:50,41271
795,Nothing Rhymed,Gilbert O'Sullivan,1971,29-12-16 4:53,41271
794,Everywhere,Fleetwood Mac,1988,29-12-16 4:57,41271
793,Stand By Me,Ben E. King,1987,29-12-16 5:06,41271
792,London Calling,The Clash,1979,29-12-16 5:10,41271
791,Beautiful Noise,Neil Diamond,1976,29-12-16 5:13,41271
790,Respect,Aretha Franklin,1967,29-12-16 5:15,41271
789,A Gentleman's Excuse Me,Fish,1990,29-12-16 5:20,41271
788,Michelle,The Beatles,1966,29-12-16 5:22,41271
787,In-A-Gadda-Da-Vida,Iron Butterfly,1970,29-12-16 5:25,41271
786,Message To My Girl,Split Enz,1984,29-12-16 5:29,41271
785,School's Out,Alice Cooper,1972,29-12-16 5:33,41271
784,(Everything I Do) I Do It For You,Bryan Adams,1991,29-12-16 5:37,41271
783,Why Tell Me Why,Anita Meyer,1981,29-12-16 5:40,41271
782,Knocking On Heaven's Door,Bob Dylan,1973,29-12-16 5:43,41271
781,Something,The Beatles,1969,29-12-16 5:46,41271
780,The Wind Cries Mary,The Jimi Hendrix Experience,1967,29-12-16 5:49,41271
779,Rosanna,Toto,1982,29-12-16 5:53,41271
778,Lazarus,David Bowie,2015,29-12-16 5:59,41271
777,Lea,The Cats,1968,29-12-16 6:11,41271
776,Nine Million Bicycles,Katie Melua,2005,29-12-16 6:14,41271
775,Always,Bon Jovi,1994,29-12-16 6:19,41271
774,Het Is Een Nacht,Guus Meeuwis & Vagant,1995,29-12-16 6:24,41271
773,Catch & Release,Matt Simons,2014,29-12-16 6:28,41271
772,Numb/Encore,Linkin Park & Jay Z,2004,29-12-16 6:31,41271
771,Glory Days,Bruce Springsteen,1985,29-12-16 6:35,41271
770,Good Riddance (Time Of Your Life),Green Day,1997,29-12-16 6:37,41271
769,In Nije Dei,De Kast,1997,29-12-16 6:42,41271
768,Video Games,Lana Del Rey,2011,29-12-16 6:46,41271
767,Geen Kind Meer,Karin Bloemen,1996,29-12-16 6:50,41271
766,Keep Your Head Up,Ben Howard,2011,29-12-16 6:54,41271
765,Don't Stop,Fleetwood Mac,1977,29-12-16 6:57,41271
764,Feel Good Inc,Gorillaz,2005,29-12-16 7:14,41271
763,Tunnel Of Love,Dire Straits,1980,29-12-16 7:20,41271
762,Anne,Herman van Veen,1986,29-12-16 7:23,41271
761,Musica E,Eros Ramazzotti,1989,29-12-16 7:27,41271
760,Jailhouse Rock,Elvis Presley,1957,29-12-16 7:30,41271
759,Does Your Mother Know,ABBA,1979,29-12-16 7:33,41271
758,Bedshaped,Keane,2004,29-12-16 7:37,41271
757,Autobahn,Kraftwerk,1975,29-12-16 7:41,41271
756,You're So Vain,Carly Simon,1973,29-12-16 7:45,41271
755,Hald Mich 's Vas,Neet Oet Lottum,2005,29-12-16 7:49,41271
754,Born To Be Wild,Steppenwolf,1968,29-12-16 7:53,41271
753,The Lady In Red,Chris De Burgh,1986,29-12-16 7:57,41271
752,Hunger Strike,Temple Of The Dog,1991,29-12-16 8:15,41271
751,Hey Brother,Avicii,2013,29-12-16 8:19,41271
750,Blauwe Ruis,Bløf,2002,29-12-16 8:23,41271
749,Us And Them,Pink Floyd,1973,29-12-16 8:27,41271
748,Champagne Supernova,Oasis,1995,29-12-16 8:32,41271
747,If You Tolerate This Your Children Will Be Next,Manic Street Preachers,1998,29-12-16 8:37,41271
746,You Make Me Feel Like A Natural Woman,Aretha Franklin,1967,29-12-16 8:40,41271
745,Daar Gaat Ze,Clouseau,1990,29-12-16 8:43,41271
744,Flappie,Youp van 't Hek,1981,29-12-16 8:47,41271
743,You Do Something To Me,Paul Weller,1995,29-12-16 8:50,41271
742,Waterloo,ABBA,1974,29-12-16 8:53,41271
741,One Way Wind,The Cats,1971,29-12-16 8:57,41271
740,"Ain't Got No, I Got Life",Nina Simone,1968,29-12-16 9:14,41271
739,Limburg,Rowwen Hèze,1996,29-12-16 9:18,41271
738,I'd Do Anything For Love,Meat Loaf,1993,29-12-16 9:23,41271
737,De Verzoening,Frank Boeijen Groep,1987,29-12-16 9:28,41271
736,Chiquitita,ABBA,1979,29-12-16 9:34,41271
735,Toen Ik Je Zag,Hero,1997,29-12-16 9:37,41271
734,Magic,Coldplay,2014,29-12-16 9:41,41271
733,A Kind Of Magic,Queen,1986,29-12-16 9:46,41271
732,I Alone,Live,1995,29-12-16 9:50,41271
731,Black Or White,Michael Jackson,1991,29-12-16 9:53,41271
730,Russians,Sting,1985,29-12-16 9:57,41271
729,Brown Sugar,The Rolling Stones,1971,29-12-16 10:14,41271
728,Band On The Run,Paul McCartney & Wings,1974,29-12-16 10:19,41271
727,See Me Feel Me,The Who,1970,29-12-16 10:23,41271
726,Don't Dream It's Over,Crowded House,1987,29-12-16 10:26,41271
725,Here Without You,3 Doors Down,2004,29-12-16 10:30,41271
724,Con Te Partiro,Andrea Bocelli,1996,29-12-16 10:35,41271
723,In The Dutch Mountains,Nits,1987,29-12-16 10:38,41271
722,Dani California,Red Hot Chili Peppers,2006,29-12-16 10:43,41271
721,Kiss,Prince,1986,29-12-16 10:46,41271
720,Top Of The World,Carpenters,1973,29-12-16 10:49,41271
719,Afscheid Nemen Bestaat Niet,Marco Borsato,2003,29-12-16 10:53,41271
718,All I Want Is You,U2,1989,29-12-16 10:58,41271
717,Words,Bee Gees,1968,29-12-16 11:14,41271
716,The Family Tree,Venice,1999,29-12-16 11:17,41271
715,Voodoo Chile,Jimi Hendrix Experience,1968,29-12-16 11:22,41271
714,Whiskey In The Jar,Thin Lizzy,1973,29-12-16 11:26,41271
713,River Deep Mountain High,Ike & Tina Turner,1966,29-12-16 11:29,41271
712,Let Me Entertain You,Robbie Williams,1998,29-12-16 11:34,41271
711,My Boy,Elvis Presley,1975,29-12-16 11:37,41271
710,Be My Number Two,Joe Jackson,1984,29-12-16 11:41,41271
709,Suzie Q,Creedence Clearwater Revival,1968,29-12-16 11:46,41271
708,How You Gonna See Me Now,Alice Cooper,1979,29-12-16 11:49,41271
707,Denis,Blondie,1978,29-12-16 11:52,41271
706,Ben Ik Te Min,Armand,1967,29-12-16 11:55,41271
705,Ordinary Love,U2,2013,29-12-16 11:59,41271
704,Waterfront,Simple Minds,1984,29-12-16 12:14,41271
703,Don't Fear The Reaper,Blue Oyster Cult,1976,29-12-16 12:18,41271
702,Let's Go Crazy,Prince,1985,29-12-16 12:23,41271
701,Never Tear Us Apart,INXS,1988,29-12-16 12:26,41271
700,Real Men,Joe Jackson,1982,29-12-16 12:30,41271
699,Human,The Killers,2008,29-12-16 12:34,41271
698,Slippery People,Talking Heads,1985,29-12-16 12:38,41271
697,Locomotive Breath,Jethro Tull,1972,29-12-16 12:42,41271
696,Come Together,The Beatles,1967,29-12-16 12:46,41271
695,So Lonely,The Police,1979,29-12-16 12:51,41271
694,You,Ten Sharp,1991,29-12-16 12:55,41271
693,Never Be Clever,Herman Brood,1979,29-12-16 12:58,41271
692,Zonder Jou,Paul de Leeuw & Simone Kleinsma,1995,29-12-16 13:14,41271
691,Clint Eastwood,Gorillaz,2001,29-12-16 13:18,41271
690,Shoes Of Lightning,Racoon,2013,29-12-16 13:21,41271
689,Through The Barricades,Spandau Ballet,1986,29-12-16 13:27,41271
688,Lola,The Kinks,1970,29-12-16 13:31,41271
687,Hometown Glory,Adele,2009,29-12-16 13:34,41271
686,My Silver Lining,First Aid Kit,2014,29-12-16 13:38,41271
685,Sweet Dreams,Eurythmics,1983,29-12-16 13:41,41271
684,Red Red Wine,UB40,1983,29-12-16 13:44,41271
683,People Are Strange,The Doors,1967,29-12-16 13:46,41271
682,Mad World,Gary Jules,2002,29-12-16 13:49,41271
681,High Hopes,Pink Floyd,1994,29-12-16 13:58,41271
680,Tubular Bells,Mike Oldfield,1974,29-12-16 14:13,41271
679,Hemel Valt,Typhoon,2015,29-12-16 14:16,41271
678,You'll Be In My Heart,Phil Collins,1999,29-12-16 14:20,41271
677,Landslide,Fleetwood Mac,1975,29-12-16 14:24,41271
676,Dreamer,Supertramp,1974,29-12-16 14:27,41271
675,I Still Cry,Ilse DeLange,2000,29-12-16 14:32,41271
674,You've Got A Friend,Carole King,1971,29-12-16 14:37,41271
673,Rain Down On Me,Kane,2002,29-12-16 14:41,41271
672,Waiting On A Sunny Day,Bruce Springsteen,2003,29-12-16 14:45,41271
671,Mooie Dag,Bløf,2002,29-12-16 14:50,41271
670,Can't Help Falling In Love With You,Elvis Presley,1961,29-12-16 14:53,41271
669,You Know I'm No Good,Amy Winehouse,2007,29-12-16 14:57,41271
668,Wrong,Novastar,1999,29-12-16 15:15,41271
667,Whatever You Want,Status Quo,1979,29-12-16 15:19,41271
666,The Times Are A-Changing,Bob Dylan,1964,29-12-16 15:22,41271
665,Strong,London Grammar,2014,29-12-16 15:26,41271
664,Narcotic,Liquido,1998,29-12-16 15:30,41271
663,Once Upon A Time In The West,Ennio Morricone,1968,29-12-16 15:34,41271
662,Eternal Flame,The Bangles,1989,29-12-16 15:38,41271
661,Our House,Madness,1982,29-12-16 15:41,41271
660,Fly Me To The Moon,Frank Sinatra,1964,29-12-16 15:44,41271
659,Lippy Kids,Elbow,2011,29-12-16 15:48,41271
658,Belgie,Het Goede Doel,1982,29-12-16 15:54,41271
657,Need Your Love So Bad,Fleetwood Mac,1968,29-12-16 15:58,41271
656,Sailing,Rod Stewart,1975,29-12-16 16:15,41271
655,Venus,Shocking Blue,1969,29-12-16 16:18,41271
654,Follow You Follow Me,Genesis,1978,29-12-16 16:21,41271
653,Love Hurts,Nazareth,1974,29-12-16 16:25,41271
652,Who'll Stop The Rain,Creedence Clearwater Revival,1970,29-12-16 16:28,41271
651,American Idiot,Green Day,2004,29-12-16 16:31,41271
650,Trouble,Coldplay,2002,29-12-16 16:35,41271
649,Alive & Kicking,Simple Minds,1985,29-12-16 16:40,41271
648,I Bet You Look Good On The Dancefloor,Arctic Monkeys,2006,29-12-16 16:43,41271
647,Total Eclipse Of The Heart,Bonnie Tyler,1983,29-12-16 16:48,41271
646,Valerie,Mark Ronson Feat. Amy Winehouse,2007,29-12-16 16:51,41271
645,Here I Go Again,Whitesnake,1987,29-12-16 16:55,41271
644,Waves,Mr. Probz,2013,29-12-16 16:58,41271
643,The Passenger,Iggy Pop,1976,29-12-16 17:16,41271
642,Down Under,Men At Work,1982,29-12-16 17:20,41271
641,Motorcycle Emptiness,Manic Street Preachers,1992,29-12-16 17:25,41271
640,I Would Die 4 U,Prince,1984,29-12-16 17:27,41271
639,Crazy Little Thing Called Love,Queen,1979,29-12-16 17:30,41271
638,Ben,Michael Jackson,1972,29-12-16 17:33,41271
637,Walk On The Wild Side,Lou Reed,1973,29-12-16 17:37,41271
636,Jump,Van Halen,1984,29-12-16 17:41,41271
635,Little Wing,Jimi Hendrix Experience,1969,29-12-16 17:43,41271
634,Kristallnach,BAP,1983,29-12-16 17:48,41271
633,Tinseltown In The Rain,The Blue Nile,1984,29-12-16 17:53,41271
632,Let The River In,Dotan,2015,29-12-16 17:56,41271
631,Just A Little Bit Of Peace In My Heart,Golden Earrings,1968,29-12-16 18:15,41271
630,Woman In Love,Barbra Streisand,1980,29-12-16 18:19,41271
629,Patience,Guns N' Roses,1989,29-12-16 18:25,41271
628,American Pie,Don McLean,1972,29-12-16 18:29,41271
627,Go Like Elijah,Chi Coltrane,1973,29-12-16 18:33,41271
626,Give It Away,Red Hot Chili Peppers,1992,29-12-16 18:37,41271
625,Father And Friend,Alain Clark,2008,29-12-16 18:41,41271
624,Bright Eyes,Art Garfunkel,1979,29-12-16 18:45,41271
623,Als Het Vuur Gedoofd Is,Acda En De Munnik,1997,29-12-16 18:49,41271
622,Non Je Ne Regrette Rien,Édith Piaf,1961,29-12-16 18:51,41271
621,The A Team,Ed Sheeran,2011,29-12-16 18:55,41271
620,Lullaby,The Cure,1989,29-12-16 18:59,41271
619,Stan,Eminem & Dido,2000,29-12-16 19:13,41271
618,Jimmy,Boudewijn de Groot,1973,29-12-16 19:17,41271
617,What It Is,Mark Knopfler,2000,29-12-16 19:21,41271
616,Man Who Sold The World,David Bowie,1970,29-12-16 19:25,41271
615,Rainbow In The Sky,Dj Paul Elstak,1995,29-12-16 19:28,41271
614,Careless Whisper,George Michael,1984,29-12-16 19:33,41271
613,Sharp Dressed Man,ZZ Top,1985,29-12-16 19:36,41271
612,Tonight,Tina Turner & David Bowie,1988,29-12-16 19:40,41271
611,Vincent,Don McLean,1972,29-12-16 19:44,41271
610,Little Green Bag,George Baker Selection,1969,29-12-16 19:47,41271
609,The Turn Of A Friendly Card,The Alan Parsons Project,1980,29-12-16 19:50,41271
608,Teardrop,Massive Attack,1998,29-12-16 19:55,41271
607,You Can Call Me Al,Paul Simon,1986,29-12-16 19:59,41271
606,I Will Follow,U2,1982,29-12-16 20:10,41271
605,Sinds 1 Dag Of 2 (32 Jaar),Doe Maar,1981,29-12-16 20:14,41271
604,Alone,Heart,1987,29-12-16 20:17,41271
603,Norwegian Wood (This Bird Has Flown),The Beatles,1965,29-12-16 20:19,41271
602,Chasing Pavements,Adele,2008,29-12-16 20:23,41271
601,Walk,Foo Fighters,2009,29-12-16 20:27,41271
600,Try,P!nk,2012,29-12-16 20:32,41271
599,Slowdancing In A Burning Room,John Mayer,2006,29-12-16 20:36,41271
598,The Long And Winding Road,The Beatles,1970,29-12-16 20:39,41271
597,There Is A Light That Never Goes Out,The Smiths,1986,29-12-16 20:43,41271
596,Sad But True,Metallica,1992,29-12-16 20:49,41271
595,Boogie Wonderland,Earth Wind & Fire feat. The Emotions,1979,29-12-16 20:53,41271
594,Michel,Anouk,2000,29-12-16 20:57,41271
593,Mijn Houten Hart,De Poema's,1999,29-12-16 21:10,41271
592,Going To The Run,Golden Earring,1991,29-12-16 21:14,41271
591,Running Up That Hill,Kate Bush,1985,29-12-16 21:19,41271
590,So Long,Fischer-Z,1980,29-12-16 21:23,41271
589,Pinball Wizard,The Who,1969,29-12-16 21:26,41271
588,Wicked Game,Chris Isaak,1991,29-12-16 21:31,41271
587,Alles Geprobeerd,Het Goede Doel,1986,29-12-16 21:37,41271
586,Absolute Beginners,David Bowie,1986,29-12-16 21:42,41271
585,Raspberry Beret,Prince,1985,29-12-16 21:45,41271
584,They Don't Care About Us,Michael Jackson,1996,29-12-16 21:50,41271
583,Human,Rag'n'Bone Man ,2016,29-12-16 21:53,41271
582,Changes,2Pac,1998,29-12-16 21:57,41271
581,Albatross,Fleetwood Mac,1969,29-12-16 22:08,41271
580,Golden Brown,The Stranglers,1982,29-12-16 22:12,41271
579,Would,Alice In Chains,1992,29-12-16 22:15,41271
578,Cloudbusting,Kate Bush,1985,29-12-16 22:20,41271
577,Adventure Of A Lifetime,Coldplay,2015,29-12-16 22:24,41271
576,Golden Years,David Bowie,1976,29-12-16 22:28,41271
575,Mrs. Robinson,Simon & Garfunkel,1968,29-12-16 22:32,41271
574,Suzanne,Herman van Veen,1969,29-12-16 22:36,41271
573,Bloedend Hart,De Dijk,1982,29-12-16 22:39,41271
572,Such A Shame,Talk Talk,1984,29-12-16 22:44,41271
571,Let It Happen,Tame Impala,2015,29-12-16 22:48,41271
570,Rhiannon,Fleetwood Mac,1976,29-12-16 22:52,41271
569,Sweet Caroline,Neil Diamond,1969,29-12-16 22:55,41271
568,The Final Countdown,Europe,1986,29-12-16 22:59,41271
567,Overcome,Live,2001,29-12-16 23:09,41271
566,Estranged,Guns N' Roses,1994,29-12-16 23:18,41271
565,Ik Kan Het Niet Alleen,De Dijk,1989,29-12-16 23:22,41271
564,Driving Home For Christmas,Chris Rea,1986,29-12-16 23:26,41271
563,Daughters,John Mayer,2005,29-12-16 23:30,41271
562,Just Give Me A Reason,P!nk & Nate Ruess,2012,29-12-16 23:34,41271
561,Roll Over Lay Down,Status Quo,1975,29-12-16 23:40,41271
560,Jungleland,Bruce Springsteen,1975,29-12-16 23:51,41271
559,You Are So Beautiful,Joe Cocker,1975,29-12-16 23:53,41271
558,Man On The Moon,R.E.M.,1992,29-12-16 23:58,41271
557,Father And Son,Cat Stevens,1971,30-12-16 0:07,41272
556,Folsom Prison Blues (live In Folsom Prison),Johnny Cash,1969,30-12-16 0:10,41272
555,New Kid In Town,Eagles,1977,30-12-16 0:15,41272
554,Otherside,Red Hot Chili Peppers,2003,30-12-16 0:19,41272
553,Is She Really Going Out With Him,Joe Jackson,1979,30-12-16 0:22,41272
552,Land Of Confusion,Genesis,1986,30-12-16 0:27,41272
551,You're The First The Last My Everything,Barry White,1974,30-12-16 0:32,41272
550,If You Leave Me Now,Chicago,1976,30-12-16 0:36,41272
549,Bloasmuziek,Gé Reinders,1999,30-12-16 0:39,41272
548,Sabotage,Beastie Boys,1994,30-12-16 0:42,41272
547,Mamma Mia,ABBA,1975,30-12-16 0:46,41272
546,I Am... I Said,Neil Diamond,1971,30-12-16 0:49,41272
545,White Room,Cream,1968,30-12-16 0:52,41272
544,Our House,"Crosby, Stills, Nash & Young",1970,30-12-16 0:55,41272
543,We Are The Champions,Queen,1977,30-12-16 0:58,41272
542,Always On My Mind,Elvis Presley,1972,30-12-16 1:07,41272
541,"Take Me Home, Country Roads",John Denver,1971,30-12-16 1:10,41272
540,Changes,David Bowie,1971,30-12-16 1:13,41272
539,Lyin' Eyes,Eagles,1975,30-12-16 1:17,41272
538,Liefde Van Later,Herman van Veen,1969,30-12-16 1:21,41272
537,Zij Maakt Het Verschil,De Poema's,2001,30-12-16 1:25,41272
536,It's My Life,Bon Jovi,2000,30-12-16 1:29,41272
535,Demons,Imagine Dragons,2014,30-12-16 1:32,41272
534,New Years Day,U2,1983,30-12-16 1:36,41272
533,Black Betty,Ram Jam,1978,30-12-16 1:38,41272
532,Tougher Than The Rest,Bruce Springsteen,1987,30-12-16 1:43,41272
531,I Will Wait,Mumford & Sons,2012,30-12-16 1:48,41272
530,Last Christmas,Wham,1984,30-12-16 1:51,41272
529,A Night Like This,Caro Emerald,2009,30-12-16 1:55,41272
528,All I Need,Air,1999,30-12-16 1:59,41272
527,Rood,Marco Borsato,2006,30-12-16 2:08,41272
526,Psycho Killer,Talking Heads,1978,30-12-16 2:13,41272
525,What A Wonderful World,Louis Armstrong,1968,30-12-16 2:15,41272
524,Another One Bites The Dust,Queen,1980,30-12-16 2:19,41272
523,Dancing In The Street,David Bowie & Mick Jagger,1985,30-12-16 2:22,41272
522,Hymn For The Weekend,Coldplay Feat. Beyoncé,2015,30-12-16 2:25,41272
521,Everytime I Think Of You,The Babys,1979,30-12-16 2:29,41272
520,The Chain,Fleetwood Mac,1977,30-12-16 2:34,41272
519,Der Weg,Herbert Grönemeyer,2002,30-12-16 2:38,41272
518,The Sound Of Silence,Disturbed,2016,30-12-16 2:42,41272
517,My Hometown,Bruce Springsteen,1986,30-12-16 2:47,41272
516,Use Somebody,Kings Of Leon,2008,30-12-16 2:50,41272
515,Wake Me Up When September Ends,Green Day,2005,30-12-16 2:55,41272
514,Zelfs Je Naam Is Mooi,Henk Westbroek,1998,30-12-16 2:59,41272
513,Song 2,Blur,1997,30-12-16 3:05,41272
512,Love Yourself,Justin Bieber,2015,30-12-16 3:09,41272
511,Gimme All Your Lovin',ZZ Top,1984,30-12-16 3:13,41272
510,Annie's Song,John Denver,1976,30-12-16 3:16,41272
509,Gravity,John Mayer,2006,30-12-16 3:20,41272
508,Wild Horses,The Rolling Stones,1971,30-12-16 3:26,41272
507,Easy Livin',Uriah Heep,1973,30-12-16 3:28,41272
506,No Mercy,Racoon,2011,30-12-16 3:31,41272
505,Lust For Life,Iggy Pop,1977,30-12-16 3:36,41272
504,La Grange,ZZ Top,1973,30-12-16 3:39,41272
503,Nightswimming,R.E.M.,1992,30-12-16 3:44,41272
502,Tribute,Tenacious D,2003,30-12-16 3:48,41272
501,Hard Sun,Eddie Vedder,2007,30-12-16 3:53,41272
500,The Boys Of Summer,Don Henley,1985,30-12-16 3:58,41272
499,You Shook Me All Night Long,AC/DC,1980,30-12-16 4:07,41272
498,Teach Your Children,"Crosby, Stills, Nash & Young",1970,30-12-16 4:10,41272
497,Photograph,Ed Sheeran,2015,30-12-16 4:13,41272
496,How Deep Is Your Love,Bee Gees,1977,30-12-16 4:17,41272
495,Sebastian,Cockney Rebel,1973,30-12-16 4:23,41272
494,Wake Me Up,Avicii,2013,30-12-16 4:27,41272
493,A Boy Named Sue,Johnny Cash,1969,30-12-16 4:31,41272
492,Dat Komt Door Jou,Guus Meeuwis,2009,30-12-16 4:35,41272
491,This Is Not America,David Bowie & Pat Metheny Group,1985,30-12-16 4:39,41272
490,Running With The Devil,Van Halen,1980,30-12-16 4:43,41272
489,Radio Ga Ga,Queen,1984,30-12-16 4:47,41272
488,Papaoutai,Stromae,2013,30-12-16 4:51,41272
487,Leaving On A Jet Plane,John Denver,1969,30-12-16 4:55,41272
486,Niet Of Nooit Geweest,Acda En De Munnik,1998,30-12-16 4:59,41272
485,Mr. Jones,Counting Crows,1994,30-12-16 5:08,41272
484,Firth Of Fifth,Genesis,1973,30-12-16 5:17,41272
483,Hier Kom Ik Weg,Daniel Lohues,2008,30-12-16 5:21,41272
482,Conquest Of Paradise,Vangelis,1995,30-12-16 5:26,41272
481,Liverpool Rain,Racoon,2012,30-12-16 5:30,41272
480,Diamonds,The Boxer Rebellion,2013,30-12-16 5:34,41272
479,Songbird,Fleetwood Mac,1977,30-12-16 5:37,41272
478,I Would Stay,Krezip,2000,30-12-16 5:41,41272
477,Mooi,Marco Borsato,2015,30-12-16 5:45,41272
476,We Will Rock You,Queen,1977,30-12-16 5:47,41272
475,I Follow Rivers,Triggerfinger,2012,30-12-16 5:51,41272
474,Papa Was A Rolling Stone,The Temptations,1972,30-12-16 5:58,41272
473,Dansen Aan Zee,Bløf,2000,30-12-16 6:11,41272
472,Sound And Vision,David Bowie,1977,30-12-16 6:14,41272
471,Supermassive Black Hole,Muse,2006,30-12-16 6:18,41272
470,Birds,Anouk,2013,30-12-16 6:21,41272
469,Omarm,Bløf,2003,30-12-16 6:25,41272
468,Max,Paolo Conte,1988,30-12-16 6:29,41272
467,Heading Up High,Armin van Buuren Ft. Kensington,2015,30-12-16 6:33,41272
466,Stop Loving You,Toto,1988,30-12-16 6:37,41272
465,Ironic,Alanis Morissette,1995,30-12-16 6:41,41272
464,What's Going On,Marvin Gaye,1971,30-12-16 6:45,41272
463,Hocus Pocus,Focus,1971,30-12-16 6:48,41272
462,Ziggy Stardust,David Bowie,1972,30-12-16 6:51,41272
461,Prachtig Mooie Dag,Daniel Lohues,2011,30-12-16 6:54,41272
460,Maid Of Orleans,Orchestral Manoeuvres In The Dark,1982,30-12-16 6:58,41272
459,She's Not There,Santana,1978,30-12-16 7:13,41272
458,Zandloper,Typhoon,2014,30-12-16 7:17,41272
457,Welcome To The Jungle,Guns N' Roses,1989,30-12-16 7:21,41272
456,Almost Cut My Hair,"Crosby, Stills, Nash & Young",1971,30-12-16 7:26,41272
455,Chandelier,Sia,2013,30-12-16 7:29,41272
454,Chan Chan,Buena Vista Social Club,1997,30-12-16 7:33,41272
453,I Will Always Love You,Whitney Houston,1992,30-12-16 7:38,41272
452,The Power Of Love,Frankie Goes To Hollywood,1984,30-12-16 7:43,41272
451,Groot Hart,De Dijk,1985,30-12-16 7:47,41272
450,Born Slippy,Underworld,1996,30-12-16 7:50,41272
449,Holding Back The Years,Simply Red,1985,30-12-16 7:55,41272
448,Baker Street,Gerry Rafferty,1978,30-12-16 7:59,41272
447,Superstition,Stevie Wonder,1973,30-12-16 8:14,41272
446,Leningrad,Billy Joel,1989,30-12-16 8:18,41272
445,Still Loving You,Scorpions,1987,30-12-16 8:23,41272
444,Fields Of Gold,Eva Cassidy,1998,30-12-16 8:26,41272
443,Eye In The Sky,The Alan Parsons Project,1982,30-12-16 8:31,41272
442,All For Nothing,Kensington,2014,30-12-16 8:34,41272
441,Lost,Anouk,2005,30-12-16 8:38,41272
440,Year Of The Cat,Al Stewart,1977,30-12-16 8:43,41272
439,99 Luftballons,Nena,1983,30-12-16 8:46,41272
438,Halo,Beyoncé,2010,30-12-16 8:50,41272
437,Treur Niet,Diggy Dex Ft. JW Roy,2015,30-12-16 8:54,41272
436,I'm Gonna Be (500 Miles),The Proclaimers,1988,30-12-16 8:57,41272
435,I Walk The Line,Johnny Cash,1957,30-12-16 9:14,41272
434,I Want You,Elvis Costello,1986,30-12-16 9:20,41272
433,Leave The Light On,Beth Hart,2003,30-12-16 9:24,41272
432,Radioactive,Imagine Dragons,2012,30-12-16 9:27,41272
431,Not An Addict,K's Choice,1996,30-12-16 9:31,41272
430,Scar Tissue,Red Hot Chili Peppers,1999,30-12-16 9:35,41272
429,Learn To Fly,Foo Fighters,1999,30-12-16 9:39,41272
428,Hey Joe,The Jimi Hendrix Experience,1967,30-12-16 9:42,41272
