pos,titel,artiest,jaar,Datum,datum2
1127,Alles Is Liefde,Bløf,2007,28-12-16 3:36,41270
1126,Alie,Normaal,1977,28-12-16 3:39,41270
1125,Love Is A Battlefield,Pat Benatar,1984,28-12-16 3:43,41270
1124,The Life I Live,Q65,1966,28-12-16 3:46,41270
1123,Hungry Heart,Bruce Springsteen,1980,28-12-16 3:49,41270
1122,It's My Life,Talk Talk,1984,28-12-16 3:53,41270
1121,Het Land Van Maas En Waal,Boudewijn de Groot,1967,28-12-16 3:56,41270
1120,Perhaps Love,John Denver,1981,28-12-16 3:59,41270
1119,You Oughta Know,Alanis Morissette,1995,28-12-16 4:07,41270
1118,Isn't She Lovely,Stevie Wonder,1976,28-12-16 4:11,41270
1117,Listen To Your Heart,Roxette,1988,28-12-16 4:16,41270
1116,Marian,The Cats,1969,28-12-16 4:20,41270
1115,Someone Somewhere (in Summertime),Simple Minds,1982,28-12-16 4:24,41270
1114,Take A Chance On Me,ABBA,1977,28-12-16 4:28,41270
1113,Streets Of London,Ralph McTell,1972,28-12-16 4:33,41270
1112,The Promise You Made,Cock Robin,1986,28-12-16 4:37,41270
1111,Storm And Thunder,Earth & Fire,1971,28-12-16 4:41,41270
1110,Remedy,Black Crowes,1992,28-12-16 4:47,41270
1109,Shape Of My Heart,Sting,1993,28-12-16 4:51,41270
1108,Night Fever,Bee Gees,1978,28-12-16 4:55,41270
1107,All The Small Things,Blink 182,1999,28-12-16 4:58,41270
1106,Speeltuin,Marco Borsato,1998,28-12-16 5:04,41270
1105,Flink Zijn,Robert Long,1977,28-12-16 5:08,41270
1104,Girl,Anouk,2004,28-12-16 5:12,41270
1103,Pure Morning,Placebo,1999,28-12-16 5:16,41270
1102,The Wall Street Shuffle,10CC,1974,28-12-16 5:20,41270
1101,I Will Survive,Gloria Gaynor,1979,28-12-16 5:23,41270
1100,No More Tears,Ozzy Osbourne,1992,28-12-16 5:29,41270
1099,Mirrors,Justin Timberlake,2013,28-12-16 5:33,41270
